French,English,Pronunciation,Part of speech
idiot,"2. addled, foolish, stupid",idjo,"n, masc"
hôpital,hospital,opital,"n, masc"
devenir,"get, become, come about, grow, happen",dəvəniʀ,v
grâce,"1. favor, favour",gʀas,"n, fem"
grâce,"2. grace, gracefulness",gʀas,"n, fem"
trucs,"stuff, things",tʀyk,"n, masc"
camp,"1. camping ground, camping site",kɑ̃,"n, masc"
camp,"2. camp of tents, tented camp",kɑ̃,"n, masc"
manque,"absence, lack, shortage, shortcoming",mɑ̃k,"n, masc"
thé,tea,te,"n, masc"
cheveux,"hair, hairs",ʃəvø,"n, masc"
soleil,sun,sɔlɛj,"n, masc"
salle,"chamber, room",sal,"n, fem"
gagner,"1. earn, gain, win",ganje,v
gagner,2. recruit,ganje,v
erreur,"aberration, error, mistake",ɛʀœʀ,"n, fem"
cru,"crude, raw, rough",kʀy,adj
bizarre,"bizarre, odd, weird",bizaʀ,adj
sac,"bag, sack",sak,"n, masc"
hôtel,hotel,otɛl,"n, masc"
oncle,uncle,ɔ̃kl,"n, masc"
pièce,"1. certificate, diploma, document",pjɛs,"n, fem"
pièce,"2. bit, lump, piece",pjɛs,"n, fem"
pièce,"3. chamber, room",pjɛs,"n, fem"
fond,"bottom, foundation, ground",fɔ̃,"n, masc"
soirée,evening,swaʀe,"n, fem"
secret,secret,səkʀɛ,"n, masc"
patron,"1. boss, master",patʀɔ̃,"n, masc"
patron,"2. pattern, stencil, template, templet",patʀɔ̃,"n, masc"
rapport,1. relevance,ʀapɔʀ,"n, masc"
rapport,"2. account, record, report",ʀapɔʀ,"n, masc"
apprendre,1. teach,apʀɑ̃dʀ,v
apprendre,2. learn,apʀɑ̃dʀ,v
sauver,"keep, save, rescue",sove,v
seconde,second,səgɔ̃d,"n, fem"
allô,hello,alo,int
ailleurs,elsewhere,ajœʀ,adv
agent,1. agent,aʒɑ̃,"n, masc"
agent,2. policeman,aʒɑ̃,"n, masc"
froid,"frigid, bleak, chilly, cold",fʀwa,adj
revenir,"come back, return",ʀəvəniʀ,v
scène,scene,sɛn,"n, fem"
groupe,1. group,gʀup,"n, masc"
groupe,2. detachment,gʀup,"n, masc"
carte,1. map,kaʀt,"n, fem"
carte,"2. card, menu",kaʀt,"n, fem"
effet,"effect, impression",ɛfɛ,"n, masc"
neuf,nine,nœf,num
battre,"1. beat, hit, strike",batʀ,v
battre,2. thresh,batʀ,v
battre,"3. curl, froth, stir, whip, whirl",batʀ,v
venue,arrival,vəny,"n, fem"
situation,"circumstances, condition, situation",sityasjɔ̃,"n, fem"
faux,scythe,fo,"n, fem"
bordel,1. brothel,bɔʀdɛl,"n, masc"
bordel,"2. bawdy, house of ill fame, whorehouse",bɔʀdɛl,"n, masc"
foutre,"fuck, screw",futʀ,v
lumière,light,lymjɛʀ,"n, fem"
incroyable,incredible,ɛkʀwajble,adj
joli,pretty,ʒɔli,adj
debout,"directly, straight ahead",dəbu,adv
colonel,colonel,kɔlonɛl,"n, masc"
cheval,horse,ʃəval,"n, masc"
vieille,"1. decayed, decrepit, dilapidated, lapsed, rickety",vjɛj,adj
vieille,2. old,vjɛj,adj
intérieur,"inner, internal",ɛ̃teʀjœʀ,adj
coin,1. corner,kwɛ̃,"n, masc"
coin,2. wedge,kwɛ̃,"n, masc"
loi,law,lwa,"n, fem"
absolument,"absolutely, definitely, without fail",absɔlymɑ̃,adv
dame,1. queen,dam,"n, fem"
dame,2. lady,dam,"n, fem"
magnifique,1. lovely,manjifik,adj
magnifique,"2. bright, brilliant",manjifik,adj
magnifique,"3. grand, grandiose, magnificent, superb",manjifik,adj
magnifique,4. resplendant,manjifik,adj
dos,back,do,"n, masc"
occuper,occupy,ɔkype,v
présent,1. (the) present,pʀezɑ̃,"n, masc"
présent,"2. gift, present",pʀezɑ̃,"n, masc"
rencontrer,"1. bore, broach, sink, strike, tap",ʀɑ̃kɔ̃tʀe,v
rencontrer,"2. come across, encounter, meet, see",ʀɑ̃kɔ̃tʀe,v
âme,soul,ɑm,"n, fem"
table,table,tabl,"n, fem"
lettre,letter,lɛtʀ,"n, fem"
risque,"hazard, risk",ʀisk,"n, masc"
commencer,"1. begin, come on, set in, start",kɔmɑ̃se,v
commencer,2. commence,kɔmɑ̃se,v
blanc,1. white,blɑ̃,adj
blanc,2. pure,blɑ̃,adj
sœur,sister,sœʀ,"n, fem"
pareil,"like, alike, similar",paʀɛj,adj
chaud,warm,ʃo,adj
finir,"1. accommodate, end, finish, terminate",finiʀ,v
finir,"2. come to an end, end up, expire",finiʀ,v
touche,key,tuʃ,"n, masc"
avance,"advance, progress",avɑ̃s,"n, fem"
tranquille,"calm, quiet, tranquil",tʀɑ̃kij,adj
anniversaire,1. anniversary,anivɛʀsɛʀ,"n, masc"
anniversaire,2. birthday,anivɛʀsɛʀ,"n, masc"
déjeuner,"lunch, midday meal",deʒœne,"n, masc"
bord,"1. coast, seaside, shore",bɔʀ,"n, masc"
bord,"2. border, brim, brink, edge, edging, fringe, rim",bɔʀ,"n, masc"
accident,accident,aksidɑ̃,"n, masc"
complètement,"1. completely, entirely, through",kɔ̃plɛtəmɑ̃,adv
complètement,2. fully,kɔ̃plɛtəmɑ̃,adv
complètement,"3. at all, quite, wholly",kɔ̃plɛtəmɑ̃,adv
clair,"1. clear, distinct, plain",klɛʀ,adj
clair,"2. bright, light",klɛʀ,adj
marcher,"march, walk",maʀʃe,v
professeur,professor,pʀofɛsœʀ,"n, masc"
midi,"midday, noon",midi,
lire,1. read,liʀ,v
lire,2. lira,liʀ,v
moyen,medium (sized),mwajɛ̃,adj
commandant,major,kɔmɑ̃dɑ̃,"n, masc"
sept,seven,sɛt,num
forme,"form, shape",fɔʀm,"n, fem"
tombe,"grave, tomb",tɔ̃b,"n, masc"
silence,silence,silɑ̃s,"n, masc"
connaître,"be acquainted with, know",kɔnɛtʀ,v
cadeau,"gift, present",kado,"n, masc"
mer,sea,me,"n, fem"
médecin,"doctor, physician",medsɛ̃,"n, masc"
exact,"correct, exact, proper, right",ɛgza,adj
moitié,half,mwatje,"n, fem"
surprise,surprise,syʀpʀiz,"n, fem"
avocat,1. advocate,avoka,"n, masc"
avocat,"2. barrister, barrister-at-law, counsel",avoka,"n, masc"
avocat,"3. intercessor, lawyer, solicitor",avoka,"n, masc"
montre,"watch, wrist-watch",mɔ̃tʀ,"n, fem"
porter,"carry, wear",pɔʀte,v
vivant,alive,vivɑ̃,adj
diable,devil,djabl,"n, masc"
ligne,line,linj,"n, fem"
mission,mission,misjɔ̃,"n, fem"
chacun,"everybody, every one",ʃakœ̃,pron
autour,"roundabout, thereabout, thereabouts",otuʀ,prep
expliquer,"1. account for, explain",ɛksplike,v
expliquer,2. clarify,ɛksplike,v
expliquer,3. unroll,ɛksplike,v
arrivée,arrival,aʀive,"n, fem"
monter,"1. get in, get into a car",mɔ̃te,v
monter,"2. assemble, link, mount",mɔ̃te,v
monter,"3. ascend, climb, scale",mɔ̃te,v
balle,1. bullet,bal,"n, fem"
balle,2. ball,bal,"n, fem"
selon,"according as, according to, as, by",səlɔ̃,prep
anglais,English language,ɑ̃glɛ,"n, fem"
tenir,"hang onto, hold",təniʀ,v
simplement,"simply, merely, just",sɛ̃pləmɑ̃,adv
quitter,"abandon, forsake, desert, leave, quit",kite,v
aimer,1. love,ɛme,v
aimer,"2. appreciate, like",ɛme,v
voie,1. track,vwa,"n, fem"
voie,"2. road, route, way",vwa,"n, fem"
classe,class,klas,"n, fem"
huit,eight,ɥi,num
offre,1. presentation,ɔfʀ,"n, fem"
offre,"2. offer, tender",ɔfʀ,"n, fem"
poste,"appointment, post, position",pɔst,"n, masc"
dangereux,dangerous,dɑ̃ʒəʀø,adj
attaque,"access, aggression, attack",atak,"n, fem"
impression,"1. effect, impression",ɛ̃pʀɛsjɔ̃,"n, fem"
impression,"2. print, imprint",ɛ̃pʀɛsjɔ̃,"n, fem"
impression,3. printed matter,ɛ̃pʀɛsjɔ̃,"n, fem"
impression,"4. trace, track",ɛ̃pʀɛsjɔ̃,"n, fem"
arrière,1. autumn,aʀjɛʀ,"n, masc"
arrière,2. behind,aʀjɛʀ,"n, masc"
suivre,"1. act on, act upon, follow, observe",sɥivʀ,v
oublier,forget,ublje,v
peuple,"folk, nation, people",pœpl,"n, masc"
baiser,"1. fuck, screw",bɛze,v
baiser,2. kiss,bɛze,v
baiser,3. have sex,bɛze,v
trou,hole,tʀu,"n, masc"
retourner,1. turn,ʀətuʀne,v
retourner,"2. blend, mingle, mix, shuffle",ʀətuʀne,v
retourner,"3. turn around, turn round",ʀətuʀne,v
chanson,song,ʃɑ̃sɔ̃,"n, fem"
écrire,"compose, create, write",ekʀiʀ,v
habitude,"custom, habit, way",abityd,"n, fem"
réponse,"answer, reply",ʀepɔ̃s,"n, fem"
lieutenant,lieutenant,ljøt(ə)nɑ̃,"n, masc"
radio,"radio, wireless",ʀadjo,"n, fem"
bande,"1. bevy, collection, group, heap, herd, set",bɑ̃d,"n, fem"
bande,"2. band, gang",bɑ̃d,"n, fem"
bande,"3. binding, tape",bɑ̃d,"n, fem"
bande,"4. ray, strip, stripe",bɑ̃d,"n, fem"
compagnie,1. company,kɔ̃panji,"n, fem"
compagnie,"2. gang, squad",kɔ̃panji,"n, fem"
connu,well-known,kony,adj
secours,first aid,səkuʀ,"n, masc"
danse,dance,dɑ̃s,"n, fem"
boîte,"box, tin",bwat,"n, fem"
triste,1. sad,tʀist,adj
triste,"2. dismal, dreary",tʀist,adj
sud,south,syd,"n, masc"
tel,"such, such a, that kind of",tɛl,adj
merveilleux,wonderful,mɛʀvɛjø,adj
coucher,1. put to bed,kuʃe,v
coucher,2. lay,kuʃe,v
sortie,"1. exit, way out",sɔʀti,"n, masc"
sortie,2. expenses,sɔʀti,"n, masc"
combat,"action, battle, scuffle, struggle",kɔ̃ba,"n, masc"
bouche,mouth,buʃ,"n, fem"
certain,"certain, sure",sɛʀtɛ̃,adj
visite,visit,vizit,"n, fem"
bête,"animal, beast",bɛt,"n, fem"
approche,approach,apʀɔʃ,"n, fem"
pourtant,"but, however, nevertheless, yet",puʀtɑ̃,adv
plusieurs,several,plyzjœʀ,
rire,laugh,ʀiʀ,v
but,"aim, goal, purpose, target",byt,"n, masc"
sergent,sergeant,sɛʀʒɑ̃,"n, masc"
public,public,pyblik,"n, masc"
système,system,sistɛm,"n, masc"
écouter,listen,ekute,v
hors,outside,ɔʀ,prep
exemple,example,ɛgzɑ̃pl,"n, masc"
vendre,"dispose of, sell, vend",vɑ̃dʀ,v
continuer,1. keep,kɔ̃tinye,v
continuer,"2. continue, endure, keep on, last",kɔ̃tinye,v
continuer,"3. go on, proceed with",kɔ̃tinye,v
sympa,sympathetic,sɛ̃pa,adj
nord,"north, North",nɔʀ,"n, masc"
cuisine,kitchen,kɥizin,"n, fem"
époque,"age, era",epɔk,"n, fem"
héros,hero,eʀo,"n, masc"
étrange,"odd, peculiar, strange",etʀɑ̃ʒ,adj
avenir,future,avəniʀ,"n, masc"
danger,"danger, peril",dɑ̃ʒe,"n, masc"
envoyer,"send, transmit",ɑ̃vwaje,v
gouvernement,"1. control, reign, rule",guvɛʀnəmɑ̃,"n, masc"
gouvernement,"2. administration, government",guvɛʀnəmɑ̃,"n, masc"
danser,dance,dɑ̃se,v
lune,moon,lyn,"n, fem"
poser,"1. achieve, act, do, make, perform",poze,v
poser,2. install,poze,v
poser,"3. build, construct",poze,v
poser,4. locate,poze,v
poser,"5. lay down, place, put, put down",poze,v
poser,6. pose,poze,v
normal,normal,nɔʀmal,adj
peau,"fur, hide, skin",po,"n, fem"
santé,health,sɑ̃te,"n, fem"
ouvrir,"1. open, open up",uvʀiʀ,v
ouvrir,2. unlock,uvʀiʀ,v
nez,nose,ne,"n, masc"
amoureux,lover,amuʀø,"n, masc"
dommage,1. damage,dɔmaʒ,"n, masc"
dommage,"2. pity, shame",dɔmaʒ,"n, masc"
mille,"thousand, one thousand",mil,num
banque,bank,bɑ̃k,"n, fem"
voler,1. fly,vɔle,v
voler,2. steal,vɔle,v
clé,key,kle,"n, fem"
servir,serve,sɛʀviʀ,v
journal,"1. gazette, magazine, newspaper, periodical",ʒuʀnal,"n, masc"
journal,"2. daily paper, journal",ʒuʀnal,"n, masc"
village,village,vilaʒ,"n, masc"
juge,judge,ʒyʒ,"n, masc"
cour,"court, yard, courtyard",kuʀ,"n, masc"
bruit,"noise, sound",bʀɥi,"n, masc"
terrible,"abysmal, dreadful, gruesome, horrible, terrible",tɛʀibl,adj
prochain,1. speedy,pʀoʃɛ̃,adj
prochain,"2. following, next",pʀoʃɛ̃,adj
inspecteur,inspector,ɛ̃spɛktœʀ,"n, masc"
liberté,freedom,libɛʀte,"n, fem"
blague,sly joke,blag,"n, fem"
robe,"dress, gown, robe",ʀɔb,"n, fem"
crime,crime,kʀim,"n, masc"
bière,"ale, beer",bjɛʀ,"n, fem"
tas,"1. accumulation, crowd, heap, mass, multitude",ta,"n, masc"
tas,"2. pile, stack",ta,"n, masc"
don,"1. gift, present",dɔ̃,"n, masc"
don,2. dowry,dɔ̃,"n, masc"
reine,queen,ʀɛn,"n, fem"
protéger,"1. guard, keep, look after, watch over",pʀoteʒe,v
protéger,2. protect,pʀoteʒe,v
bar,"1. bar, barrier",baʀ,"n, masc"
bar,2. buffet,baʀ,"n, masc"
dingue,"crazy, rediculous",dɛ̃g,adj
vent,wind,vɑ̃,"n, masc"
pitié,"compassion, pity",pitje,"n, fem"
club,"club, society",klœb,"n, masc"
conseil,"advice, counsel",kɔ̃sɛj,"n, masc"
sol,"ground, soil",sɔl,"n, masc"
centre,1. centre,sɑ̃tʀ,"n, masc"
centre,"2. core, nucleus, kernel, pit",sɑ̃tʀ,"n, masc"
centre,"3. average, mean, middle",sɑ̃tʀ,"n, masc"
thé,tea,te,"n, masc"
stupide,1. idiotic,stypid,adj
stupide,"2. addled, foolish, stupid",stypid,adj
vin,wine,vɛ̃,"n, masc"
tante,aunt,tɑ̃t,"n, fem"
fiche,"filing card, slip",fiʃ,"n, fem"
milieu,1. inside,miljø,"n, masc"
milieu,2. environment,miljø,"n, masc"
milieu,"3. average, mean, middle",miljø,"n, masc"
signe,"character, mark, sign, signal, token",sinj,"n, masc"
départ,departure,depaʀ,"n, masc"
inutile,"abortive, useless",inytil,adj
emmener,"take (with one), take away",ɑ̃mne,vt
liste,"1. nomination, recommendation",list,"n, fem"
liste,2. list,list,"n, fem"
liste,"3. index, table, tablet, tabulation",list,"n, fem"
gamin,"naughty boy, pickle",gamɛ̃,"n, masc"
prise,"1. catch, prize",pʀiz,"n, fem"
prise,"2. plug, socket",pʀiz,"n, fem"
différent,different,difeʀɑ̃,adj
probablement,probably,pʀobabləmɑ̃,adv
intérêt,1. good,ɛ̃teʀɛ,"n, masc"
intérêt,2. concern,ɛ̃teʀɛ,"n, masc"
intérêt,3. interest,ɛ̃teʀɛ,"n, masc"
intérêt,"4. advantage, benefit",ɛ̃teʀɛ,"n, masc"
parole,speech,paʀɔl,"n, masc"
ennemi,"adverse, hostile",ɛnəmi,adj
vêtements,"clothing, clothes, garments",vɛtəmɑ̃,n
recherche,"1. exploration, investigation, research",ʀəʃɛʀʃ,"n, fem"
recherche,"2. quest, search",ʀəʃɛʀʃ,"n, fem"
société,society,sɔsjete,"n, fem"
soin,"care, concern",swɛ̃,"n, masc"
descendre,"1. get out, get out of a car",dɛsɑ̃dʀ,v
descendre,"2. exit, go out",dɛsɑ̃dʀ,v
descendre,"3. descend, get off, go down",dɛsɑ̃dʀ,v
position,position,pozisjɔ̃,"n, fem"
oeil,eye,œj,"n, masc"
vouloir,"be willing to, want, wish",vulwaʀ,v
spectacle,"1. appearance, aspect, look, sight, view",spɛktakl,"n, masc"
spectacle,2. exterior,spɛktakl,"n, masc"
spectacle,"3. show, spectacle",spɛktakl,"n, masc"
rôle,"part, role",ʀol,"n, masc"
asseoir,sit down,aswaʀ,v
environ,"about, approximately",ɑ̃viʀɔ̃,adv
mur,wall,myʀ,"n, masc"
blessé,"injured, wounded",blɛse,adj
mise,1. stake,miz,"n, fem"
mise,"2. clothing, attire",miz,"n, fem"
beauté,1. beauty,bote,"n, fem"
beauté,2. beautiful woman,bote,"n, fem"
américain,American,ameʀikɛ̃,adj
marier,"wed, marry, be married, get married",maʀje,v
entrée,"access, admission, admittance",ɑ̃tʀe,"n, fem"
soldat,"pawn, soldier",sɔlda,"n, masc"
sauter,"jump, leap, spring",sote,v
lâche,"abject, base, low, nasty, vile",laʃ,adj
église,"church, church-building, house of worship, place of worship",egliz,"n, fem"
pierre,stone,pjɛʀ,"n, masc"
art,art,aʀ,"n, masc"
fenêtre,window,fənɛtʀ,"n, fem"
humain,humane,ymɛ̃,adj
tort,"fault, wrongdoing",tɔʀ,"n, masc"
cerveau,brain,sɛʀvo,"n, masc"
coupable,guilty,kupabl,adj
adresse,1. address,adʀɛs,"n, fem"
adresse,"2. expertness, skill, skillfulness",adʀɛs,"n, fem"
prince,prince,pʀɛ̃s,"n, masc"
quartier,"district, neighbourhood, quarter",kaʀtje,"n, masc"
espoir,hope,ɛspwaʀ,"n, masc"
conduire,"1. conduct, guide, lead",kɔ̃dɥiʀ,v
conduire,2. steer,kɔ̃dɥiʀ,v
ridicule,ridiculous,ʀidikyl,adj
rose,1. pink,ʀoz,"n, masc"
rose,2. rose,ʀoz,"n, masc"
presse,press,pʀɛs,"n, fem"
adieu,"adieu, farewell, bye, goodbye",adjø,
expérience,experiment,ɛkspeʀjɑ̃s,"n, fem"
présenter,"introduce, present",pʀezɑ̃te,v
revenu,"income, return",ʀəvəny,"n, masc"
vis,screw,vi,"n, fem"
intéressant,"curious, interesting, quaint",ɛ̃teʀesɑ̃,adj
nature,nature,natyʀ,"n, fem"
gosse,"1. girl, lass, wench",gos,"n, masc"
gosse,"2. boy, lad, laddie",gos,"n, masc"
taxi,taxi,taksi,"n, masc"
fier,proud,fje,v
preuve,"proof, sign, token",pʀœv,"n, fem"
riche,"affluent, rich, wealthy, well-off",ʀiʃ,adj
vide,"1. empty, void",vid,adj
vide,"2. miserable, needy",vid,adj
vide,3. vacant,vid,adj
mademoiselle,Miss,madəmwazɛl,"n, fem"
formidable,"1. extraordinary, formidable",foʀmidabl,adj
formidable,2. gigantic,foʀmidabl,adj
formidable,"3. enormous, immense",foʀmidabl,adj
formidable,"4. colossal, huge",foʀmidabl,adj
formidable,5. horrible,foʀmidabl,adj
nul,"1. neither, nobody, none, no-one",nyl,
nul,2. worthless,nyl,
directeur,"director, manager",diʀɛktœʀ,"n, masc"
chanter,sing,ʃɑ̃te,v
contact,contact,kɔ̃takt,"n, masc"
marié,"groom, bridegroom",maʀje,"n, masc"
défense,"defence, defense",defɑ̃s,"n, fem"
répondre,reduce the price,ʀepɔ̃dʀ,v
responsable,"accountable, responsible",ʀɛspɔ̃sabl,adj
deuxième,second,døzjɛm,adj
appartement,"apartment, flat",apaʀtəmɑ̃,"n, masc"
décision,decision,desizjɔ̃,"n, fem"
cinéma,cinema,sinema,"n, masc"
jeter,1. spit,ʒəte,v
jeter,2. throw,ʒəte,v
cacher,"conceal, hide",kaʃe,v
glace,"1. ice, icecream",glas,"n, fem"
occasion,"1. inducement, motive, occasion",ɔkazjɔ̃,"n, fem"
occasion,"2. chance, event, occurence, opportunity",ɔkazjɔ̃,"n, fem"
vacances,holidays,vakɑ̃se,"n, masc"
sentir,1. smell,sɑ̃tiʀ,v
sentir,"2. give off an odour, reek",sɑ̃tiʀ,v
sentir,"3. feel, grope",sɑ̃tiʀ,v
sentir,4. sense,sɑ̃tiʀ,v
courage,courage,kuʀaʒ,"n, masc"
allée,avenue,ale,"n, fem"
capable,"able, capable",kapabl,adj
parmi,"1. a, in, inside, into, on, per, within",paʀmi,prep
parmi,2. between,paʀmi,prep
parmi,"3. among, amidst, in the middle of",paʀmi,prep
parmi,"4. at, beside, with",paʀmi,prep
superbe,"delightful, lovely",sypɛʀb,adj
français,"French, French language",fʀɑ̃sɛ,adj
souvenir,"1. keepsake, memento, souvenir",suvniʀ,"n, masc"
souvenir,2. recollection,suvniʀ,"n, masc"
ouest,"1. west, West",wɛst,"n, masc"
coupe,goblet,kup,"n, fem"
immédiatement,"at once, immediately, just, right away, right now",imedjatəmɑ̃,adv
machine,"engine, machine",maʃin,"n, fem"
épouse,wife,epuz,"n, fem"
certainement,certainly,sɛʀtɛnəmɑ̃,adv
bombe,bomb,bɔ̃b,"n, fem"
manière,"manner, mode, way",manjɛʀ,"n, fem"
monstre,monster,mɔ̃stʀ,"n, masc"
importance,"1. bulk, dimension, extent, size",ɛ̃pɔʀtɑ̃s,"n, fem"
importance,2. concern,ɛ̃pɔʀtɑ̃s,"n, fem"
importance,3. meaning,ɛ̃pɔʀtɑ̃s,"n, fem"
joie,"gladness, joy",ʒwa,"n, fem"
court,1. short,kuʀ,adj
court,2. brief,kuʀ,adj
pont,1. deck,pɔ̃,"n, masc"
pont,2. bridge,pɔ̃,"n, masc"
bain,bath,bɛ̃,"n, masc"
tourner,"1. turn, turn around",tuʀne,v
tourner,"2. switch, turn on",tuʀne,v
cent,"hundred, one hundred",sɑ̃,num
poisson,fish,pwasɔ̃,"n, masc"
terrain,"ground, grounds, terrain",tɛʀɛ̃,"n, masc"
enquête,"inquiry, investigation",ɑ̃kɛt,"n, fem"
horrible,"1. abhorrent, abominable, alien, awful, hideous, horrible, gruesome",ɔʀibl,adj
horrible,"2. repellent, repelling, repulsive",ɔʀibl,adj
horrible,"3. dismal, dreary, nasty",ɔʀibl,adj
chat,cat,ʃa,"n, masc"
camion,"lorry, truck",kamjɔ̃,"n, masc"
joyeux,"1. cheerful, gay, merry",ʒwajø,adj
joyeux,"2. happy, glad",ʒwajø,adj
shérif,sheriff,ʃeʀif,"n, masc"
éviter,"avoid, evade",evite,v
projet,"design, diagram, plan, project, scheme",pʀoʒɛ,"n, masc"
dossier,"dossier, file, folder",dosje,"n, masc"
respect,respect,ʀɛspɛ,"n, masc"
excellent,"fine, great",ɛksɛlɑ̃,adj
mariée,bride,maʀje,"n, fem"
lorsque,when,loʀsk,
majesté,majesty,maʒɛste,"n, fem"
rencontre,"1. appointment, date, rendezvous",ʀɑ̃kɔ̃tʀ,"n, fem"
rencontre,2. encounter,ʀɑ̃kɔ̃tʀ,"n, fem"
toucher,"1. bore, broach, sink, strike, tap",tuʃe,v
toucher,2. touch,tuʃe,v
ange,angel,ɑ̃ʒ,"n, masc"
empêcher,prevent,ɑ̃pɛʃe,v
zone,zone,zon,"n, fem"
plupart,"the most part, mostly",plypaʀ,"n, fem"
politique,"policy, politics",pɔlitik,"n, fem"
langue,"language, tongue",lɑ̃g,"n, fem"
douleur,"ache, pain",dulœʀ,"n, fem"
planète,planet,planɛt,"n, fem"
offrir,"1. donate, give",ɔfʀiʀ,v
offrir,"2. bid, offer, make an offer of",ɔfʀiʀ,v
offrir,"3. present with, tender",ɔfʀiʀ,v
drogue,drug,dʀɔg,"n, fem"
réalité,1. reality,ʀealite,"n, fem"
réalité,2. actuality,ʀealite,"n, fem"
permis,permission,pɛʀmi,"n, masc"
chapeau,hat,ʃapo,"n, masc"
île,island,il,"n, fem"
réunion,"assemblage, gathering, meeting",ʀeynjɔ̃,"n, fem"
contraire,opposite,kɔ̃tʀɛʀ,"n, masc"
excuser,"1. forgive, pardon",ɛkskyze,v
excuser,2. excuse,ɛkskyze,v
couleur,"1. dye, paint",kulœʀ,"n, fem"
couleur,2. colour,kulœʀ,"n, fem"
rapide,"fast, quick, rapid, speedy, swift",ʀapid,adj
papier,paper,papje,"n, masc"
discuter,discuss,diskyte,v
opération,"operation, surgical operation",opeʀasjɔ̃,"n, fem"
nourriture,1. food,nuʀityʀ,"n, fem"
nourriture,2. nourishment,nuʀityʀ,"n, fem"
entier,"1. complete, full",ɑ̃tje,adj
entier,"2. entire, overall, whole",ɑ̃tje,adj
nécessaire,necessary,nesesɛʀ,adj
frais,fee,fʀɛ,"n, masc"
spécial,"particular, special",spesjal,adj
vaisseau,vessel,vɛso,"n, masc"
action,"1. achievement, act, action",aksjɔ̃,"n, fem"
action,2. share,aksjɔ̃,"n, fem"
princesse,princess,pʀɛ̃sɛs,"n, fem"
magasin,"boutique, shop, store",magazɛ̃,"n, masc"
pain,"bread, loaf",pɛ̃,"n, masc"
mignon,1. pretty,minjɔ̃,adj
mignon,2. graceful,minjɔ̃,adj
mignon,"3. charming, lovely",minjɔ̃,adj
taille,"1. bulk, extent, size",taj,"n, fem"
taille,"2. dimension, measurement",taj,"n, fem"
taille,3. stature,taj,"n, fem"
taille,"4. waist, waistline",taj,"n, fem"
sacré,"holy, sacred",sakʀe,adj
double,"double, dual",dubl,
imbécile,"foolish, silly, dumb",ɛ̃besil,adj
champ,field,ʃɑ̃,"n, masc"
personnel,"own, personal",pɛʀsonɛl,adj
client,"client, customer",kliɑ̃,"n, masc"
lait,milk,lɛ,"n, masc"
contrat,contract,kɔtʀa,"n, masc"
sexe,1. sex,sɛks,"n, masc"
sexe,2. penis,sɛks,"n, masc"
repas,meal,ʀəpa,"n, masc"
mémoire,"memory, recollection",memwaʀ,"n, masc"
direction,1. steering,diʀɛksjɔ̃,"n, fem"
direction,2. direction,diʀɛksjɔ̃,"n, fem"
pleurer,"1. cry, weep",plœʀe,vi
pleurer,2. rain,plœʀe,vi
couteau,knife,kuto,"n, masc"
malin,1. vicious,malɛ̃,adj
malin,"2. airy-fairy, frolic, frolicsome, petulant",malɛ̃,adj
malin,"3. clever, cunning, sly, smart",malɛ̃,adj
témoin,witness,temwɛ̃,"n, masc"
trésor,treasure,tʀezɔʀ,"n, masc"
foi,"1. confidence, faith, trust",fwa,"n, fem"
foi,2. belief,fwa,"n, fem"
puisque,"1. because, for the reason that",pɥisk,conj
puisque,"2. as, for, since",pɥisk,conj
réfléchir,"1. think, think about, reflect on",ʀefleʃiʀ,v
réfléchir,2. reflect,ʀefleʃiʀ,v
choisir,"choose, elect, pick out",ʃwaziʀ,v
goût,taste,gu,"n, masc"
détruire,"destroy, quash",detʀɥiʀ,v
université,university,ynivɛʀsite,"n, fem"
doux,"mild, gentle, soft, sweet, tender",du,adj
raconter,"narrate, relate, tell",ʀakɔ̃te,v
vitesse,speed,vitɛs,"n, fem"
procès,"action, lawsuit",pʀosɛ,"n, masc"
amuser,amuse,amyze,v
niveau,level,nivo,"n, masc"
fermer,"1. close, shut",fɛʀme,vt
fermer,2. lock,fɛʀme,vt
arranger,"arrange, fix up",aʀɑ̃ʒe,v
rappeler,evoke,ʀapəle,v
arbre,tree,aʀbʀ,"n, masc"
mérite,"1. value, worth",meʀit,"n, masc"
mérite,2. merit,meʀit,"n, masc"
différence,difference,difeʀɑ̃s,"n, fem"
bleu,1. blue,blø,adj
bleu,"2.  [cul] very rare, very slightly cooked",blø,adj
espace,"room, space",ɛspas,"n, masc"
caméra,movie camera,kameʀa,"n, fem"
piste,1. arena,pist,"n, fem"
piste,"2. course, race-course, track, running track",pist,"n, fem"
piste,3. path,pist,"n, fem"
sourire,smile,suʀiʀ,v
courir,run,kuʀiʀ,v
accepter,"accept, receive, take, take in",aksɛpte,v
jambe,1. leg,ʒɑ̃b,"n, fem"
jambe,2. paw,ʒɑ̃b,"n, fem"
quels,1. who,kɛl,
quels,2. which,kɛl,
préparer,prepare,pʀepaʀe,v
énorme,"1. gigantic, huge",enɔʀm,adj
énorme,"2. enormous, immense",enɔʀm,adj
énorme,3. colossal,enɔʀm,adj
officier,officer,ɔfisje,"n, masc"
file,1. column,fil,"n, masc"
file,"2. file, line, rank, row, turn",fil,"n, masc"
programme,programme,pʀɔgram,"n, masc"
arrêt,"decision, judgement",aʀɛ,"n, masc"
chasse,"hunt, chase",ʃas,"n, fem"
victime,victim,viktim,"n, fem"
unique,unique,ynik,adj
